shipper_code,destination_code,Packet,Carton,Pallet,P Size,S Size,M Size,L Size,XL Size,M3 Min,M3,Weight-KG (min),Weight-KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHONGWAH,S.ALAM,,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHONGWAH,SEGAMAT,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHONGWAH,SITIAWN,,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHONGWAH,SP,,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDDIPLEX,AOR,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDDIPLEX,B.PHT,,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDDIPLEX,BANGI,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDDIPLEX,BWORTH,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDDIPLEX,GERIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDDIPLEX,J.BHR,,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDDIPLEX,JOHOR,,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDDIPLEX,K.BHR,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDDIPLEX,K.LMPUR,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDDIPLEX,K.TGG,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDDIPLEX,KEDAH,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDDIPLEX,KJANG,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDDIPLEX,KLNTN,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDDIPLEX,KLUANG,,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDDIPLEX,KUANTN,,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDDIPLEX,MLAKA,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDDIPLEX,MUAR,,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDDIPLEX,N9,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDDIPLEX,P.JAYA,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDDIPLEX,PAHNG ,,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDDIPLEX,PENANG,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDDIPLEX,RWANG,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDDIPLEX,SEGAMAT,,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDDIPLEX,SITIAWN,,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDDIPLEX,SP,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SASBADI,AOR,,,1.75,4.1,6.4,8.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SASBADI,BWORTH,,,1.75,4.1,6.4,8.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SASBADI,GERIK,,,1.75,11.8,14.1,15.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SASBADI,IPOH,,,1.5,4.1,6.4,8.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SASBADI,ISKANDAR,,,1.75,11.8,14.1,15.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SASBADI,KEDAH,,,1.75,4.1,6.4,8.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SASBADI,LNGKAWI,,,3.4,32,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SASBADI,MIDWAY,,,1.5,4.1,6.4,8.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SASBADI,PENANG,,,1.75,4.1,6.4,8.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SASBADI,PERAK,,,1.5,4.1,6.4,8.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
